Name,Summary,Average Runtime,Premiere Date,Genres,Type,Language,Network,Rating,Schedule (days),Total Seasons,Total Episodes
Dexter,"He's smart, he's good looking, and he's got a great sense of humor. He's Dexter Morgan, everyone's favorite serial killer. As a Miami forensics expert, he spends his days solving crimes, and nights committing them. But Dexter lives by a strict code of honor that is both his saving grace and lifelong burden. Torn between his deadly compulsion and his desire for true happiness, Dexter is a man in profound conflict with the world and himself.",60,9/22/2013,"['Drama', 'Crime', 'Mystery']",Scripted,English,Showtime,8.4,['Sunday'],8,96
Black Books,"Black Books is a second-hand bookshop in London run by an Irishman named Bernard Black. He is probably the planet's worst-suited person to run such an establishment: he makes no effort to sell, closes at strange hours on a whim, is in a perpetual alcoholic stupor, abhors his customers (sometimes physically abusing them) and is often comatose at his desk. Help comes in the lumpy shape of Manny Bianco, a hairy, bumbling individual who (almost by osmosis) becomes Bernard's assistant. Manny is not exactly great at the job either but he is a million times better than Bernard. Next door is Fran, an anxious, frustrated woman who runs a sort of new-age shop selling the most unlikely bits of arty junk. Fran is friends with Bernard and, through him, with Manny; together the trio become embroiled in escapades that are sometimes extreme or violent or fantastically ludicrous, and always bizarre.",25,4/15/2004,['Comedy'],Scripted,English,Channel 4,8.4,['Thursday'],3,18
Warehouse 13,"After saving the life of the President, two Secret Service agents find themselves abruptly transferred to Warehouse 13 -- a massive, top-secret storage facility in windswept South Dakota that houses every strange artifact, mysterious relic, fantastical object and supernatural souvenir ever collected by the U.S. government. The Warehouse's caretaker Artie charges Pete and Myka with chasing down reports of supernatural and paranormal activity in search of new objects to cache at the Warehouse, as well as helping him to control the warehouse, itself. Rounding out the team is technology specialist Claudia and former ATF Steve Jinks.",60,5/19/2014,"['Drama', 'Science-Fiction', 'Mystery']",Scripted,English,Syfy,8.4,['Monday'],5,64
The Newsroom,"The Newsroom follows the members of a cable news team on their quixotic mission to do the news well in the face of a fickle audience, corporate mandates and tangled personal relationships.",60,12/14/2014,['Drama'],Scripted,English,HBO,8.4,['Sunday'],3,25
Star Trek: Deep Space Nine,"Star Trek: Deep Space Nine (DS9) focuses on the 24th century adventures of Captain Benjamin Sisko on space station Deep Space 9, an outpost situated near the mouth of a stable wormhole on the far reaches of explored space. Although Sisko commands Deep Space 9, the station actually belongs to the inhabitants of nearby Bajor, who requested Starfleet's protective presence after Bajoran freedom fighters put an end to the brutal Cardassian occupation of their world. Approximately a sixth of the station's 300 permanent residents are Starfleet personnel; there is also a sizable Bajoran militia presence. The rest of Deep Space 9's inhabitants are civilians, most of whom work in the station's Promenade, a kind of indoor marketplace. Initially, Sisko's mandate from Starfleet was to protect Bajor and the station from any hostiles who ventured into the area. But with the discovery of the nearby wormhole—a shortcut through space that leads directly to the uncharted Gamma quadrant—Sisko's mandate has expanded exponentially, as the region becomes the gateway to all manner of visitors, both friendly and extremely hostile.",60,6/2/1999,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,Syndication,8.4,['Wednesday'],7,176
Utopia,Utopia based initially around a small group of people who find a rare manuscript of the same name. This leads the group to be targeted by a large organisation with little knowledge of the manuscript's relevance or importance.,60,8/12/2014,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,Channel 4,8.4,['Tuesday'],2,12
Seinfeld,"Seinfeld is the story of a fictionalized version of stand-up comedian Jerry Seinfeld, his life in New York City and his quirky group of friends who join him in wrestling with life's most perplexing, yet often trivial questions. Often described as ""a show about nothing,"" Seinfeld mines the humor in life's mundane situations like waiting in line, searching for a lost item, or the trials and tribulations of dating.",30,5/14/1998,['Comedy'],Scripted,English,NBC,8.4,['Thursday'],9,180
Hunter x Hunter,"Remake of the 1999 TV series of Hunter x Hunter based on the manga by Togashi Yoshihiro. A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him. After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapica, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.",25,9/24/2014,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,NTV,8.4,['Wednesday'],3,148
Bron / Broen,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",60,2/18/2018,"['Drama', 'Crime', 'Thriller']",Scripted,Swedish,SVT1,8.4,['Sunday'],4,38
Star Trek,"The original Star Trek series focuses on the 23rd century adventures of Captain James T. Kirk and the U.S.S. <i>Enterprise </i>(NCC-1701), a powerful interstellar spacecraft dispatched by Earth-based Starfleet Command to explore the galaxy. Kirk commands a crew of 430 men and women aboard his starship, which can travel at speeds surpassing the speed of light. Kirk's five-year mission—and his mandate from Starfleet—is to seek out new life and new civilizations, and to boldly go where no man has gone before.",60,6/3/1969,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,NBC,8.4,['Friday'],3,79
Elementary,"Elementary is a modern-day take on the classic Sherlock Holmes story about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson.",60,8/15/2019,"['Drama', 'Crime', 'Mystery']",Scripted,English,CBS,8.3,['Thursday'],7,154
M*A*S*H,"Loosely based on the real-life M*A*S*H unit 8055, life at the 4077 revolved around the day-to-day routines of Captain ""Hawkeye"" Pierce, Captain ""Trapper"" McIntyre, Lieutenant Colonel Henry Blake, Major Margaret Houlihan, Major Franklin Burns and Corporal ""Radar"" O'Reilly. Through these characters, viewers traveled beyond the long hours and the horrors of the operating room to a place where friendships were forged, laughter was found and drinks were served.",31,2/28/1983,"['Comedy', 'War', 'Medical']",Scripted,English,CBS,8.3,['Monday'],11,251
The Knick,"New York City, 1900: The Knickerbocker Hospital is home to groundbreaking surgeons, nurses and staff who push the boundaries of medicine in a time of astonishingly high mortality rates and zero antibiotics. The newly appointed leader of the surgery staff is the brilliant, arrogant renegade Dr. John Thackery, whose addiction to cocaine and opium is trumped only by his ambition for medical discovery and renown among his peers. Into the all-white staff and patient hospital comes the equally gifted Harvard graduate Dr. Algernon Edwards, who must fight for respect while trying to navigate the racially charged city. Trying to maintain its reputation for quality care while realizing a profit, the Knickerbocker makes an effort to attract wealthy clientele, while literally struggling to keep the lights on.",60,12/18/2015,"['Drama', 'Medical']",Scripted,English,Cinemax,8.3,['Friday'],3,20
Sons of Anarchy,"Sons of Anarchy is an American television drama series created by Kurt Sutter, about the lives of a close-knit outlaw motorcycle club operating in Charming, a fictional town in California's Central Valley. The show centers on protagonist Jackson ""Jax"" Teller (Charlie Hunnam), initially the vice president of the club, who begins questioning the club and himself.",60,12/9/2014,"['Drama', 'Action', 'Crime']",Scripted,English,FX,8.3,['Tuesday'],7,92
